City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vicksburg,32.35,-90.88,78.8,41,1,8.05,US,1601488129
polangi,11.53,124.92,77.23,89,100,3.69,PH,1601488129
hilo,19.73,-155.09,75.99,64,90,4.7,US,1601488017
sinnamary,5.38,-52.95,86.04,66,26,12.71,GF,1601488130
elektrenai,54.77,24.63,59.0,72,100,8.05,LT,1601488130
kavieng,-2.57,150.8,81.84,74,98,4.97,PG,1601488130
fergus falls,46.28,-96.08,60.01,50,40,19.46,US,1601488130
bengkulu,-3.8,102.27,77.38,86,99,6.15,ID,1601488131
elizabeth city,36.29,-76.25,72.0,56,1,11.41,US,1601488131
margate,51.38,1.39,62.01,84,98,4.0,GB,1601488131
warrington,53.39,-2.58,57.2,93,75,4.7,GB,1601488131
ancud,-41.87,-73.82,52.0,70,40,9.17,CL,1601488132
kununurra,-15.77,128.73,77.0,94,52,5.84,AU,1601487917
lagos,6.58,3.75,75.79,92,100,4.23,NG,1601487853
jitra,6.27,100.42,80.6,94,20,0.58,MY,1601488133
naze,28.37,129.48,75.2,88,75,10.29,JP,1601488133
dondo,-19.61,34.74,77.0,78,75,16.11,MZ,1601488133
isangel,-19.55,169.27,69.75,82,12,14.03,VU,1601488134
marzuq,14.4,46.47,77.38,47,18,6.82,YE,1601488134
bosaso,11.28,49.18,84.49,64,27,4.29,SO,1601488135
yellowknife,62.46,-114.35,39.99,100,75,3.36,CA,1601488136
preobrazheniye,42.9,133.91,54.95,63,100,2.46,RU,1601488136
honiara,-9.43,159.95,73.4,100,40,4.09,SB,1601488137
chuy,-33.7,-53.46,70.77,64,31,4.18,UY,1601488137
hof,50.32,11.92,54.0,93,88,2.24,DE,1601488060
maceio,-9.67,-35.74,82.4,61,40,12.75,BR,1601488138
bardiyah,31.76,25.09,73.04,76,0,12.66,LY,1601488139
batouri,4.43,14.37,70.63,91,99,2.13,CM,1601488140
san patricio,19.22,-104.7,91.4,75,75,7.07,MX,1601488140
ames,42.03,-93.62,66.99,39,1,19.46,US,1601488141
aklavik,68.22,-135.01,32.0,81,90,6.93,CA,1601488141
nyurba,63.28,118.33,25.16,93,37,2.33,RU,1601488142
talnakh,69.49,88.4,26.6,100,40,4.47,RU,1601488142
pimentel,-6.84,-79.93,73.4,60,20,11.41,PE,1601488143
moron,-34.65,-58.62,82.99,28,0,11.41,AR,1601488107
olafsvik,64.89,-23.71,40.23,71,74,14.54,IS,1601488143
mikuni,36.22,136.15,66.2,93,75,3.36,JP,1601488144
alice springs,-23.7,133.88,66.2,39,0,5.82,AU,1601487969
nalut,30.33,10.85,81.79,22,0,5.5,LY,1601488145
auki,-8.77,160.7,77.43,85,64,5.06,SB,1601488145
urumqi,43.8,87.6,46.4,49,0,2.24,CN,1601488146
northam,51.03,-4.22,57.99,97,100,10.0,GB,1601488146
broome,42.25,-75.83,62.01,66,90,20.8,US,1601487886
srednekolymsk,67.45,153.68,38.73,78,99,12.66,RU,1601488147
peniche,39.36,-9.38,66.99,71,33,8.01,PT,1601488147
sovetskaya gavan,48.97,140.29,45.28,78,1,4.61,RU,1601488148
bredasdorp,-34.53,20.04,55.4,71,73,8.05,ZA,1601488148
sobolevo,54.43,31.9,53.38,56,53,14.27,RU,1601488149
lorengau,-2.02,147.27,81.7,76,56,5.39,PG,1601488149
port elizabeth,-33.92,25.57,60.8,72,75,13.87,ZA,1601488150
oussouye,12.48,-16.55,75.2,88,40,4.7,SN,1601488150
leningradskiy,69.38,178.42,32.56,88,95,3.0,RU,1601488151
satao,40.74,-7.73,64.0,69,0,8.01,PT,1601488151
hualmay,-11.1,-77.61,68.05,66,48,12.03,PE,1601488151
san carlos de bariloche,-41.15,-71.31,44.6,42,40,26.4,AR,1601487897
kotelnich,58.31,48.35,49.73,93,97,4.03,RU,1601488152
kapaa,22.08,-159.32,72.0,83,1,8.05,US,1601488152
conde,-7.26,-34.91,84.2,62,75,17.22,BR,1601488152
luderitz,-26.65,15.16,56.8,69,2,27.63,NA,1601488153
lebu,-37.62,-73.65,50.7,54,22,10.74,CL,1601488153
vila,42.03,-8.16,61.0,75,68,10.0,PT,1601488154
nemuro,43.32,145.57,56.95,86,21,14.85,JP,1601487910
karratha,-20.74,116.85,71.4,47,0,7.49,AU,1601488154
meulaboh,4.14,96.13,78.84,86,88,6.42,ID,1601488154
buchanan,5.88,-10.05,80.6,88,75,5.82,LR,1601488155
ternate,0.8,127.4,80.04,77,84,2.98,ID,1601488155
port moresby,-9.44,147.18,74.26,90,94,12.88,PG,1601487971
novaky,48.71,18.53,55.99,99,100,5.21,SK,1601488155
daru,-9.08,143.21,76.96,83,98,17.43,PG,1601488156
quang ngai,15.12,108.8,77.72,85,38,5.06,VN,1601488156
leshukonskoye,64.9,45.76,48.96,86,67,5.77,RU,1601488157
mossendjo,-2.95,12.73,76.39,71,82,4.5,CG,1601488157
port macquarie,-31.43,152.92,54.0,99,16,7.74,AU,1601488158
igarka,67.47,86.58,29.39,96,65,8.16,RU,1601488158
ribeira grande,38.52,-28.7,71.6,78,75,12.75,PT,1601488159
rafraf,37.19,10.18,75.2,69,20,8.05,TN,1601488098
salalah,17.02,54.09,78.8,83,75,2.24,OM,1601488159
kupang,-10.17,123.58,76.91,71,8,5.55,ID,1601488160
buraydah,26.33,43.98,84.2,26,0,5.82,SA,1601488160
tame,6.46,-71.73,88.02,54,99,4.05,CO,1601488161
severomuysk,56.15,113.43,23.16,97,93,7.29,RU,1601488162
dzhubga,44.32,38.7,68.36,78,100,2.08,RU,1601488162
port lincoln,-34.73,135.87,49.35,76,40,6.93,AU,1601488162
kerrobert,51.92,-109.13,50.0,53,20,23.04,CA,1601488162
killarney,52.05,-9.52,50.0,87,90,4.7,IE,1601488163
roanne,46.0,4.0,60.8,67,15,0.56,FR,1601488163
barcelona,41.39,2.16,72.0,83,20,9.17,ES,1601487976
uyar,55.81,94.32,32.61,89,95,6.96,RU,1601488163
sao filipe,14.9,-24.5,79.34,78,19,11.48,CV,1601488164
varva,50.49,32.72,56.84,76,100,14.74,UA,1601488164
new port richey,28.24,-82.72,77.0,55,95,3.0,US,1601488164
kirsanov,52.65,42.72,59.02,50,99,12.3,RU,1601488165
mayumba,-3.43,10.66,76.03,77,97,6.26,GA,1601488165
hervey bay,-25.3,152.85,59.0,82,15,1.01,AU,1601488166
togur,58.36,82.83,40.17,96,100,8.28,RU,1601488166
rio gallegos,-51.62,-69.22,41.0,52,40,40.26,AR,1601488167
west wendover,40.74,-114.07,62.6,25,1,8.05,US,1601488167
bulawayo,-20.15,28.58,67.19,76,56,16.13,ZW,1601487913
sai buri,6.7,101.62,78.46,84,0,3.56,TH,1601488167
vostok,46.49,135.88,37.08,95,100,1.74,RU,1601488168
sulangan,11.14,123.72,83.68,71,100,4.43,PH,1601488168
egvekinot,66.32,-179.17,30.2,98,94,3.2,RU,1601488169
beian,63.66,9.57,59.0,71,67,5.82,NO,1601488169
majene,-3.54,118.97,78.8,83,100,10.74,ID,1601488170
dongkan,34.0,119.83,61.45,66,92,0.6,CN,1601488170
chifeng,42.27,118.96,51.15,46,92,7.54,CN,1601488171
marawi,8.0,124.29,75.0,88,95,5.01,PH,1601488171
svetlyy,54.67,20.13,60.8,77,99,13.42,RU,1601488171
husavik,66.04,-17.34,42.8,75,90,3.36,IS,1601488171
inhambane,-23.86,35.38,71.6,94,40,9.17,MZ,1601488172
souillac,-20.52,57.52,71.6,83,75,2.24,MU,1601488173
sept-iles,50.2,-66.38,59.0,100,90,19.46,CA,1601488134
jalu,29.03,21.55,88.48,30,0,10.4,LY,1601488173
alofi,-19.06,-169.92,75.2,94,4,4.7,NU,1601488174
borborema,-21.62,-49.07,105.39,12,1,7.65,BR,1601488174
praya,14.92,-23.51,84.2,66,75,14.99,CV,1601488119
fortuna,40.6,-124.16,57.2,100,90,3.36,US,1601488174
chumikan,54.72,135.31,41.99,77,0,9.75,RU,1601488175
prieska,-29.66,22.75,65.48,17,0,10.67,ZA,1601488175
tocopilla,-22.09,-70.2,69.37,46,20,9.62,CL,1601488176
voh,-20.97,164.7,61.57,79,13,5.91,NC,1601488176
fort nelson,58.81,-122.7,39.2,66,20,3.36,CA,1601488176
camacha,33.08,-16.33,71.6,78,40,11.41,PT,1601488177
rawson,-43.3,-65.1,56.17,36,49,23.76,AR,1601488177
cayenne,4.93,-52.33,89.6,59,80,14.99,GF,1601488177
xam nua,20.42,104.04,67.28,94,84,1.68,LA,1601488178
moratuwa,6.77,79.88,77.0,94,75,1.12,LK,1601488178
guanica,17.97,-66.91,90.0,56,44,5.01,PR,1601488179
alta floresta,-9.88,-56.09,95.0,50,40,5.82,BR,1601488179
acapulco,16.86,-99.89,84.2,74,75,5.82,MX,1601487920
narsaq,60.92,-46.05,33.8,40,75,2.24,GL,1601488180
yumaguzino,52.9,56.39,52.54,83,4,2.82,RU,1601488180
coquimbo,-29.95,-71.34,60.8,55,5,16.11,CL,1601488180
san jose,37.34,-121.89,71.01,72,90,4.7,US,1601488065
aberfeldy,56.62,-3.86,55.0,95,98,2.91,GB,1601488181
nizwa,22.93,57.53,86.36,20,77,5.37,OM,1601488181
halkirk,52.28,-112.15,51.01,54,3,5.99,CA,1601488181
nampula,-15.12,39.27,80.6,39,0,11.41,MZ,1601488167
yekaterinovka,52.05,44.35,55.71,48,95,10.42,RU,1601488182
townsville,-19.25,146.8,69.8,77,40,6.93,AU,1601488182
hailey,43.52,-114.32,64.99,26,5,8.05,US,1601488183
mount gambier,-37.83,140.77,44.6,93,40,10.29,AU,1601488183
high level,58.52,-117.14,46.4,75,20,2.08,CA,1601488184
xiongyue,40.18,122.12,54.25,59,29,3.2,CN,1601488184
mantua,45.17,10.78,64.99,80,27,4.18,IT,1601488071
campbell river,50.02,-125.24,60.01,100,75,2.24,CA,1601488185
brejo santo,-7.49,-38.99,95.0,21,0,8.05,BR,1601488185
shieli,44.17,66.75,54.52,42,100,6.89,KZ,1601488185
saint-joseph,-21.37,55.62,73.4,73,40,4.47,RE,1601488186
kysyl-syr,63.9,122.76,28.18,92,100,0.58,RU,1601488186
nanortalik,60.14,-45.24,35.15,79,98,4.81,GL,1601488187
namikupa,-10.83,39.6,70.56,84,79,4.0,TZ,1601488187
ilhabela,-23.78,-45.36,78.87,76,27,5.79,BR,1601488188
codrington,-38.27,141.97,42.84,88,9,8.41,AU,1601488188
rey bouba,8.67,14.18,76.55,81,48,3.62,CM,1601488188
bileca,42.87,18.43,66.2,55,17,5.82,BA,1601488189
nahariyya,33.01,35.09,82.4,74,20,3.36,IL,1601488189
puerto escondido,15.85,-97.07,86.0,70,40,8.05,MX,1601488190
salinopolis,-0.61,-47.36,83.98,67,27,14.76,BR,1601488190
jawhar,2.78,45.5,77.09,77,44,16.53,SO,1601488191
taiobeiras,-15.81,-42.23,92.95,21,6,14.85,BR,1601488191
puerto el triunfo,13.28,-88.55,89.6,62,20,2.24,SV,1601488191
pangody,65.85,74.49,40.68,84,98,5.46,RU,1601488191
lodja,-3.48,23.43,78.42,67,80,1.5,CD,1601488192
butaritari,3.07,172.79,81.7,80,99,16.6,KI,1601488192
karpogory,64.0,44.45,49.24,85,98,5.21,RU,1601488192
mackay,-21.15,149.2,60.8,87,40,5.82,AU,1601488193
homer,59.64,-151.55,53.6,87,90,9.17,US,1601487987
mae hong son,19.3,97.97,73.72,87,72,0.94,TH,1601488194
contamana,-7.33,-75.02,93.51,41,88,2.13,PE,1601488194
linxia,35.6,103.21,48.65,75,98,3.44,CN,1601488194
lasa,46.62,10.7,53.6,66,5,3.36,IT,1601488195
porto de moz,-1.75,-52.24,98.4,35,100,5.28,BR,1601488195
kasongo-lunda,-6.47,16.82,78.82,67,38,2.3,CD,1601488195
lokosovo,61.13,74.82,44.06,94,100,4.29,RU,1601488196
jenison,42.91,-85.79,61.0,78,69,3.0,US,1601488183
aknada,42.4,46.17,44.4,74,85,5.5,RU,1601488196
safford,32.83,-109.71,78.8,15,1,8.05,US,1601488197
sri aman,1.24,111.46,77.0,94,98,1.01,MY,1601488197
manta,-0.95,-80.73,78.8,69,75,11.41,EC,1601487986
port blair,11.67,92.75,81.52,82,97,17.72,IN,1601488198
kudat,6.88,116.85,80.31,79,8,5.5,MY,1601488199
bayan,46.08,127.4,43.52,82,0,5.55,CN,1601488199
lethem,3.38,-59.8,95.7,38,71,6.29,GY,1601488199
clyde river,70.47,-68.59,30.2,86,75,13.87,CA,1601488200
san cristobal,7.77,-72.22,91.4,36,40,16.11,VE,1601488201
oranjestad,12.52,-70.03,91.4,63,40,19.46,AW,1601488008
comodoro rivadavia,-45.87,-67.5,57.2,30,20,24.16,AR,1601488201
darlowo,54.42,16.41,60.01,83,97,11.21,PL,1601488202
port hardy,50.7,-127.42,59.0,87,75,2.24,CA,1601487993
piracanjuba,-17.3,-49.02,99.05,13,20,10.51,BR,1601488203
aqtobe,50.28,57.21,53.6,58,1,6.71,KZ,1601488203
gizo,-8.1,156.84,81.37,75,33,5.97,SB,1601488204
acarau,-2.89,-40.12,86.02,54,14,21.54,BR,1601488205
barber,12.28,-69.07,91.4,59,40,16.11,CW,1601488205
sistranda,63.73,8.83,57.2,71,28,5.82,NO,1601488206
ferme-neuve,46.7,-75.45,51.53,87,97,8.81,CA,1601488207
erzin,36.96,36.2,80.01,68,1,0.96,TR,1601488207
pakhtakoron,40.16,68.75,54.0,54,6,2.44,TJ,1601488208
am timan,11.03,20.28,70.3,90,74,2.21,TD,1601488209
lambarene,-0.7,10.24,77.63,74,64,4.83,GA,1601488209
imbituba,-28.24,-48.67,82.4,54,20,19.46,BR,1601488210
komsomolskiy,40.43,71.72,53.6,81,90,4.7,UZ,1601488210
san andres,12.58,-81.7,86.0,79,75,6.93,CO,1601488129
neuquen,-38.95,-68.06,60.8,18,20,19.46,AR,1601487969
moindou,-21.69,165.68,55.4,82,75,5.48,NC,1601488211
boa vista,2.82,-60.67,93.2,41,75,8.05,BR,1601488211
quatre cocos,-20.21,57.76,73.0,83,75,2.24,MU,1601488211
lugovoy,42.95,72.76,50.07,49,98,9.22,KZ,1601488212
hovd,48.01,91.64,37.31,73,24,0.45,MN,1601488212
saldanha,-33.01,17.94,55.4,71,9,13.87,ZA,1601488127
fort saint james,54.43,-124.25,53.15,70,4,2.33,CA,1601488213
huilong,31.81,121.66,70.0,84,40,6.22,CN,1601488213
paracuru,-3.41,-39.03,81.0,71,22,21.99,BR,1601488213
morro bay,35.37,-120.85,84.0,52,0,5.59,US,1601488213
chernyshevskiy,63.01,112.47,24.66,91,29,4.16,RU,1601488214
jaicos,-7.36,-41.14,101.16,12,0,11.92,BR,1601488214
coihaique,-45.58,-72.07,46.4,49,75,12.75,CL,1601488215
roald,62.58,6.13,55.4,87,77,11.41,NO,1601488215
silivri,41.08,28.23,66.2,48,1,3.36,TR,1601488215
camacupa,-12.02,17.48,68.13,71,85,6.64,AO,1601488216
estreito,-5.78,-43.25,103.95,15,75,5.82,BR,1601488216
dawlatabad,36.41,64.91,51.94,47,0,4.72,AF,1601488217
tahta,26.77,31.5,92.03,13,0,11.48,EG,1601488217
nizhnyaya maktama,54.86,52.43,55.04,83,99,4.05,RU,1601488218
ahipara,-35.17,173.17,47.91,81,3,2.68,NZ,1601488218
umm kaddadah,13.6,26.69,95.63,25,100,6.15,SD,1601488218
maine-soroa,13.21,12.02,88.05,48,39,7.9,NE,1601488219
derzhavinsk,51.1,66.32,47.35,54,4,8.28,KZ,1601488219
benghazi,32.12,20.07,75.33,65,0,14.43,LY,1601487967
mamallapuram,12.63,80.17,82.4,74,75,9.17,IN,1601488220
yumen,40.28,97.2,39.94,58,0,4.12,CN,1601488220
banda aceh,5.56,95.32,80.53,76,44,2.55,ID,1601488221
bam,29.11,58.36,64.76,29,0,2.01,IR,1601488222
archidona,37.1,-4.39,73.0,66,96,3.31,ES,1601488222
ola,59.58,151.28,41.29,81,96,3.06,RU,1601488222
kenai,60.55,-151.26,48.2,81,90,25.28,US,1601488223
tehri,30.38,78.48,69.89,64,0,3.94,IN,1601488223
bataipora,-22.3,-53.27,105.17,15,70,5.53,BR,1601488224
mecca,21.43,39.83,82.89,74,0,2.53,SA,1601488224
kavaratti,10.57,72.64,80.94,79,10,13.71,IN,1601488225
yulara,-25.24,130.99,64.4,34,0,6.93,AU,1601488225
dingle,11.0,122.67,76.28,90,100,1.61,PH,1601488226
celestun,20.87,-90.4,80.87,82,95,16.2,MX,1601488226
qasigiannguit,68.82,-51.19,28.4,46,20,8.05,GL,1601488226
monrovia,6.3,-10.8,80.6,88,75,5.82,LR,1601488227
shouguang,36.88,118.74,64.0,63,94,6.42,CN,1601488227
lardos,36.09,28.02,75.2,53,0,14.99,GR,1601488014
huanren,41.26,125.37,43.09,84,0,0.92,CN,1601488228
plainview,40.78,-73.47,71.01,49,1,17.22,US,1601488081
labuhan,-6.88,112.21,79.57,80,72,7.96,ID,1601488229
